Utilization,Average Response Time,Average Queue Size
0.06682712051941482,0.07039288099989789,0.007627678304061512
0.13364363365126022,0.07592135199988843,0.038024964554932726
0.20044883050328258,0.08205981300005077,0.09072329022783322
0.26724310745311164,0.08996532500024478,0.16104555276125243
0.3340259645465727,0.09903104100003839,0.2785888251880756
0.4008000232830079,0.1112626940001137,0.4347210876302465
0.4675605565825407,0.12627166399999987,0.6268701391045407
0.5343100020490655,0.14385726200007048,0.8930811350090944
0.6010540084073327,0.1655550809999768,1.2506845790570333
0.6677803133241389,0.19969279899986578,1.7832543168404955
0.7345032172765598,0.26888621500002774,2.7652454416212824
0.8012068067236132,0.36568597100018085,4.227134099694141
0.8605120004104537,0.49021344899991526,6.224653847847921
0.9165996380125536,0.6563486270001376,8.93986143220869
0.9703008823015703,0.9711314630000488,14.152839374242777
